Unnamed: 0,Price,Size,Bed,Bath,Location
768,6000000,1050.0,3,2,Uttara
769,6000000,1050.0,3,2,Uttara
772,6600000,827.0,2,2,Uttara
774,35000000,3860.0,5,6,Uttara
785,11500000,1525.0,3,3,Uttara
788,6000000,1700.0,4,4,Uttara
789,15000000,1575.0,3,3,Uttara
796,13500000,1679.0,3,4,Uttara
798,7500000,1300.0,3,3,Uttara
809,4500000,766.0,3,2,Uttara
812,9130000,1320.0,3,3,Uttara
814,10500000,1480.0,3,2,Uttara
837,16500000,2257.0,3,3,Uttara
846,21000000,2370.0,3,3,Uttara
849,13600000,1450.0,3,4,Uttara
857,5200000,850.0,2,2,Uttara
867,10000000,1520.0,3,4,Uttara
878,11000000,1760.0,3,3,Uttara
881,13000000,1550.0,3,4,Uttara
889,21000000,2370.0,3,3,Uttara
896,9500000,1670.0,3,3,Uttara
923,8000000,1600.0,3,3,Uttara
931,9100000,1700.0,3,4,Uttara
937,7500000,1095.0,2,2,Uttara
940,6700000,1148.0,3,3,Uttara
970,22000000,2370.0,3,3,Uttara
973,22000000,2370.0,3,3,Uttara
976,4500000,800.0,2,2,Uttara
977,4500000,800.0,2,2,Uttara
981,12800000,1500.0,4,4,Uttara
1014,7500000,1220.0,3,3,Uttara
1015,7500000,1220.0,3,3,Uttara
1026,12500000,1500.0,4,4,Uttara
1027,12600000,1500.0,4,4,Uttara
1040,8600000,1650.0,3,3,Uttara
1050,9200000,1654.0,3,3,Uttara
1067,18500000,1856.0,3,4,Uttara
1081,14500000,1750.0,3,3,Uttara
1082,14500000,1750.0,3,3,Uttara
1083,14500000,1750.0,3,3,Uttara
1084,14500000,1750.0,3,3,Uttara
1161,4200000,1005.0,2,2,Uttara
1164,17500000,2170.0,3,3,Uttara
1167,11900000,1818.0,3,3,Uttara
1172,15000000,1850.0,3,3,Uttara
1173,15000000,1850.0,3,3,Uttara
1174,14500000,1850.0,3,3,Uttara
1175,9000000,1500.0,3,3,Uttara
1176,9000000,1500.0,3,3,Uttara
1177,9000000,1500.0,3,3,Uttara
1192,9500000,1658.0,3,3,Uttara
1211,9000000,1500.0,3,3,Uttara
1227,9300000,1642.0,3,4,Uttara
1247,9345000,1350.0,3,3,Uttara
1248,9345000,1350.0,3,3,Uttara
1249,16000000,1992.0,3,4,Uttara
1265,9345000,1350.0,3,3,Uttara
1289,10300000,1500.0,3,3,Uttara
1290,9345000,1350.0,3,3,Uttara
1291,9345000,1350.0,3,3,Uttara
1292,9345000,1350.0,3,3,Uttara
1293,9345000,1350.0,3,4,Uttara
1294,9345000,1350.0,3,3,Uttara
1321,7000000,1260.0,3,3,Uttara
1322,10000000,1654.0,3,3,Uttara
1337,10500000,1656.0,3,3,Uttara
1338,10500000,1656.0,3,3,Uttara
1339,10500000,1656.0,3,3,Uttara
1345,10300000,1500.0,3,3,Uttara
1346,9345000,1350.0,3,3,Uttara
1347,6825000,1050.0,2,2,Uttara
1384,9500000,1850.0,3,4,Uttara
1385,9500000,1750.0,3,3,Uttara
1386,9500000,1750.0,3,3,Uttara
1387,13500000,1787.0,3,3,Uttara
1400,6000000,1149.0,3,3,Uttara
1414,11000000,1555.0,3,2,Uttara
1417,8500000,1450.0,3,3,Uttara
1434,6500000,950.0,2,2,Uttara
1438,9345000,1350.0,3,3,Uttara
1445,18000000,2191.0,4,4,Uttara
1469,11500000,1600.0,3,4,Uttara
1470,11600000,1472.0,3,3,Uttara
1474,9200000,1513.0,3,3,Uttara
1491,7600000,1450.0,3,3,Uttara
1492,23200000,2365.0,4,3,Uttara
1493,21800000,2365.0,4,3,Uttara
1494,7600000,1100.0,3,3,Uttara
1497,10700000,1533.0,3,3,Uttara
1524,7500000,1200.0,2,1,Uttara
1526,12000000,1650.0,3,3,Uttara
1539,21000000,2370.0,3,3,Uttara
1546,8700000,1280.0,3,3,Uttara
1549,8700000,1280.0,3,3,Uttara
1562,8500000,1200.0,3,3,Uttara
1564,9700000,1520.0,3,3,Uttara
1567,15200000,1646.0,3,4,Uttara
1574,14500000,1525.0,2,2,Uttara
1578,8002000,1540.0,3,3,Uttara
1581,16200000,2024.0,3,3,Uttara
1587,8000000,1450.0,3,3,Uttara
1588,8000000,1450.0,3,3,Uttara
1606,7000000,1050.0,3,2,Uttara
1608,6000000,925.0,2,2,Uttara
1617,10000000,2000.0,3,3,Uttara
1624,8000000,1200.0,3,3,Uttara
1642,6257000,1409.0,3,3,Uttara
1644,8500000,1650.0,3,3,Uttara
1658,10800000,1539.0,3,3,Uttara
